ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,frame_pattern,frame_pattern_lower,frame_pattern_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
1970-01-01 02:10:23,-0.05657436111493208,-16.323694133603002,19.11153386624563,-17.11248839493284,18.610548237191743,0.6170988633523091,0.6170988633523091,0.6170988633523091,0.6170988633523091,0.6170988633523091,0.6170988633523091,0.0,0.0,0.0,0.560524502237377
1970-01-01 02:10:24,-0.05820500834213327,-16.42547937754868,19.492115579566242,-17.12298704028438,18.61764779933319,0.6170977778947936,0.6170977778947936,0.6170977778947936,0.6170977778947936,0.6170977778947936,0.6170977778947936,0.0,0.0,0.0,0.5588927695526603
1970-01-01 02:10:25,-0.059835655569334456,-16.547585541047752,19.27801566574493,-17.133485685635918,18.62203264939115,0.617096692435692,0.617096692435692,0.617096692435692,0.617096692435692,0.617096692435692,0.617096692435692,0.0,0.0,0.0,0.5572610368663575
1970-01-01 02:10:26,-0.06146630279653831,-17.032040955789817,19.563705486974907,-17.143984330987458,18.626417499449108,0.6170956069750042,0.6170956069750042,0.6170956069750042,0.6170956069750042,0.6170956069750042,0.6170956069750042,0.0,0.0,0.0,0.5556293041784659
1970-01-01 02:10:27,-0.0630969500237395,-17.05230712712796,19.72908923868691,-17.154482976338997,18.63080234950707,0.6170945215127304,0.6170945215127304,0.6170945215127304,0.6170945215127304,0.6170945215127304,0.6170945215127304,0.0,0.0,0.0,0.5539975714889909
1970-01-01 02:10:28,-0.06472759725094335,-17.02603875711443,19.161931512822147,-17.164981621690533,18.635187199565028,0.6170934360488705,0.6170934360488705,0.6170934360488705,0.6170934360488705,0.6170934360488705,0.6170934360488705,0.0,0.0,0.0,0.5523658387979271
1970-01-01 02:10:29,-0.0663582444781472,-16.88067413358822,19.450524937813285,-17.175480267042076,18.639572049622984,0.6170923505834245,0.6170923505834245,0.6170923505834245,0.6170923505834245,0.6170923505834245,0.6170923505834245,0.0,0.0,0.0,0.5507341061052773
1970-01-01 02:10:30,-0.06798889170534839,-16.511958176484377,19.023747907111936,-17.185978912393615,18.643956899680948,0.6170912651163925,0.6170912651163925,0.6170912651163925,0.6170912651163925,0.6170912651163925,0.6170912651163925,0.0,0.0,0.0,0.5491023734110441
1970-01-01 02:10:31,-0.06961953893255224,-16.764807683325692,19.203089047639615,-17.196477557745155,18.648341749738908,0.6170901796477744,0.6170901796477744,0.6170901796477744,0.6170901796477744,0.6170901796477744,0.6170901796477744,0.0,0.0,0.0,0.5474706407152221
1970-01-01 02:10:32,-0.07125018615975343,-17.023728822340228,19.389190574015938,-17.206976203096694,18.652726599796868,0.6170890941775704,0.6170890941775704,0.6170890941775704,0.6170890941775704,0.6170890941775704,0.6170890941775704,0.0,0.0,0.0,0.545838908017817
1970-01-01 02:10:33,-0.07288083338695461,-16.341893421818053,19.32021930000267,-17.21747484844823,18.657111449854824,0.6170880087057802,0.6170880087057802,0.6170880087057802,0.6170880087057802,0.6170880087057802,0.6170880087057802,0.0,0.0,0.0,0.5442071753188256
1970-01-01 02:10:34,-0.07451148061415847,-16.919650769298293,19.130017487945263,-17.22797349379977,18.661496299912784,0.6170869232324039,0.6170869232324039,0.6170869232324039,0.6170869232324039,0.6170869232324039,0.6170869232324039,0.0,0.0,0.0,0.5425754426182454
